"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Characteristics:Состав;Weight;Length;Width;Height;"SEO title";"SEO descr";"FB title";"FB descr"
765122377261;;;;;"Артикул 1853";"Размеры 48-56";;https://static.tildacdn.com/tild6366-3338-4036-a665-343635313339/1853--.jpg;;;;;;2fgNP133uX4FhfeGctsp;;;0;0;0;0;;;;
142757071691;;1853;;;"Артикул 1853 / Черный- Черный";;;https://static.tildacdn.com/tild6366-3338-4036-a665-343635313339/1853--.jpg;33.0000;40;;Цвет:Черный;;Cj1LNvcrkPsKLSKPigrr;765122377261;;0;0;0;0;;;;
993729152521;;;;;"Артикул 1853";"Размеры 48-56";;https://static.tildacdn.com/tild6236-3538-4265-a539-343831376133/__1423_.jpg;;;;;;yDT2NRJdyDVXCfRuzRU4;;;0;0;0;0;;;;
668019837821;;1853;;;"Артикул 1853 / Голубой- Голубой";;;https://static.tildacdn.com/tild6236-3538-4265-a539-343831376133/__1423_.jpg;33.0000;40;;Цвет:Голубой;;TEtg1XYRuOX5toZ3LMrd;993729152521;;0;0;0;0;;;;
268557813061;;;;;"Артикул 1856";"Размеры 42-50";;https://static.tildacdn.com/tild6565-3563-4336-b063-383334666533/1856_4.jpg;;;;;;RE3NuXXJSxuGnGRZeA0J;;;0;0;0;0;;;;
368150919691;;1856;;;"Артикул 1856 / Красный фон- Красный фон";;;https://static.tildacdn.com/tild6565-3563-4336-b063-383334666533/1856_4.jpg;26.0000;12;;"Цвет:Красный фон";;06oud3kC3y1vV7TsKB0H;268557813061;;0;0;0;0;;;;
859901077691;;;;;"Артикул 1724";"Размеры 48-56";;https://static.tildacdn.com/tild3834-3831-4330-b533-393863306263/1724_46.jpg;;;;;;dbtbx4KXKXb5L4x4L3RL;;;0;0;0;0;;;;
539468237391;;1724;;;"Артикул 1724 / Сливовый- Сливовый";;;https://static.tildacdn.com/tild3834-3831-4330-b533-393863306263/1724_46.jpg;20.0000;6;;Цвет:Сливовый;;s0S5CMy95Xk7jciUOLTG;859901077691;;0;0;0;0;;;;
916146366331;;;;;"Артикул 1694";"Размеры 46-56";"Пиджак 1694, брюки 1906";https://static.tildacdn.com/tild6463-3530-4964-a661-323166643632/1694_2_900_1200.jpg;;;;;;A14g5yHrtcZgS7gYO5UB;;;0;0;0;0;;;;
153619116551;;1694;;;"Артикул 1694 / Синий- Синий";;;https://static.tildacdn.com/tild6463-3530-4964-a661-323166643632/1694_2_900_1200.jpg;20.0000;2;;Цвет:Синий;;onknnafPrTmio2iP63r3;916146366331;;0;0;0;0;;;;
